index,author,username,date,english_text,zh_cn_translation,visible_stats
82,tiNy_TrEAsUre,@ClownxXkillerx,May 7,"Funny how the hotfix says: “language optimization.” Just be upfront: “We’re removing AI assets from the game, and we’re sorry.” If I ran the company, I’d apologize properly with 2 SSR selectors, 70 Solid Dice pulls, 45 Fabricated Dice pulls, 5,600 Riftcrystals, 450,000 Fons.","有趣的是，修补程序说：“语言优化。”坦白说：“我们正在从游戏中删除人工智能资产，我们很抱歉。”如果我经营这家公司，我会用 2 个 SSR 选择器、70 个实心骰子拉力、45 个制造骰子拉力、5,600 个 Riftcrystals、450,000 Fons 来道歉。","48 | 56 | 33,869"
83,Mizuki☄️,@KitsuneMizuki,May 7,well... i'm worried about your sinister kernel level anticheating too... in a game that... CLEARLY doesnt need to have one... but of course... let's ignore that,好吧...我也担心你邪恶的内核级反作弊...在一款游戏中...显然不需要有一个...但是当然...让我们忽略这一点,"6 | 1 | 51 | 2,137"
84,aasaa_,@ArthurN37229758,May 7,"Give Hotori for free and all is forgiven 🥹 🤣🤣jokes aside good to own up to the mistakes made, just don't do it again The overall game is beautiful and well-made, so please maintain the quality",免费赠送Hotori，一切都可以原谅🥹🤣🤣开玩笑，承认所犯的错误很好，只是不要再犯了。整体游戏很漂亮，制作精良，所以请保持质量,"19,754"
85,Ellie 🎀,@maxdeploy,May 7,"""AI-assisted tools were used only on a small number of background"" is what every studio writes after the receipts come out nobody writes this letter when they aren't caught",“人工智能辅助工具仅在少数背景下使用”是每个工作室在收据出来后写的，没有人在不被抓到的情况下写这封信,"8 | 46 | 13,250"
86,༒᭙ﺃɀ༒,@skelewiz,May 7,"I’m just gonna leave this here. Their mindset in a nutshell, regardless of what it’s used for:",我就把这个留在这里。简而言之，他们的心态，无论其用途是什么：,"10,720"
87,Camora,@x_camora_x,May 7,Everyone so willing to support this dev team but I am sick and tired of people treating this use of AI like a small mistake. This isn’t a small mistake. It should not have been in the final product PERIOD. I don’t wanna hear any arguments against me because it’s just ridiculous,每个人都非常愿意支持这个开发团队，但我厌倦了人们将人工智能的使用视为一个小错误。这不是一个小错误。它不应该出现在最终产品时期。我不想听到任何反对我的争论，因为这太荒谬了,"5 | 40 | 5,050"
88,Sibey🌸🇯🇵🇺🇸,@SibeyVT,May 7,"Don’t bend the knee, keep AI in the game, you will get more support from us who love AI then the activist that will never play your game anyways.",不要屈膝，让人工智能留在游戏中，你会从我们热爱人工智能的人那里得到更多的支持，而不是那些永远不会玩你的游戏的活动家。,"1,023"
89,AllReal,@AllReal10,May 7,the only thing about this that sucks is that the devs have to spend time now working on assets like posters that you can barely tell are ai instead of working on cool stuff,唯一糟糕的是，开发人员现在必须花时间在海报等资产上，而你几乎看不出这些是人工智能，而不是在很酷的东西上工作,"3 | 1 | 35 | 7,490"
90,Sebastian Castellanos,@Sebasti66855537,May 7,Why don't you guys fix the game's egregious stuttering while you're at it? Make sure to actually compile all needed PSOs before gameplay starts. Respect your audience.,你们为什么不解决游戏中严重的卡顿问题呢？确保在游戏开始之前实际编译所有需要的 PSO。尊重你的观众。,"3,724"
91,Noiz,@NoizTweet,May 7,Don't waste time on recreating assets that already work. Ignore idiots and keep going.,不要浪费时间重新创建已经可用的资产。忽略白痴并继续前进。,"2,096"
92,Rokai,@Rokaivt,May 7,"only performative people care about the use of AI, everyone else just want a game that looks good and has an entertaining storyline.",只有表演型人才关心人工智能的使用，其他人只想要一款看起来不错且故事情节有趣的游戏。,997
93,Akane 🦊🪶 VTuber,@NomuraAkane,May 7,That how the heist looks now.,这起抢劫案现在看起来就是这样。,"7,993"
94,Morgy,@morganshibaIN,May 7,No one cares stop catering to perfomative people you were already transparent,没有人在乎停止迎合那些表现出色的人，你已经是透明的了,345
95,TerranMonarch,@TerranMonarch,May 7,"Take a page from Blue Archive and don’t listen or hire people like iron mouse, the audience dislikes the idea of her and cronies and they got sacked immediately",借鉴蓝色档案馆的经验，不听也不雇用像铁老鼠这样的人，观众不喜欢她和亲信的想法，他们立即被解雇,"2,032"
96,Ratanak ▲ 🇰🇭 |KHVTuber| Hanuman,@ratanak_45,May 7,specifically those two? you literally have gen ai videos for majority of the adverts,具体是那两个？你确实拥有大部分广告的 gen ai 视频,"2,173"
97,Dorupon5454,@Dorupon5454,May 7,"Good luck NTE, and ToF too XD I'll just pray the best for my fave games. Nowadays I believe there are many ways to 'destroy' competitors especially if you doing your best and actually make something enjoyable. Keep polishing your quality. And, may bad people got karma, fair XD",祝 NTE 好运，ToF 也好 XD 我会为我最喜欢的游戏祈祷一切顺利。如今，我相信有很多方法可以“摧毁”竞争对手，特别是如果你竭尽全力并真正做出令人愉快的事情。不断打磨你的品质。而且，愿坏人得到业力，公平 XD,"1 | 25 | 2,612"
98,✨Miko✨(C6 Bina main),@GenshinXOanime,May 7,W response good job devs! keep up the good work! NTE has been amazing my favorite game right now super fun!🫶,W 回复 开发人员干得好！继续努力！ NTE 太棒了，我现在最喜欢的游戏超级有趣！🫶,"1 | 27 | 3,419"
99,Kurai Sumire-Ito,@kelsburn3r,May 7,"Fuck Ironmouse, don’t listen to the detractors this game is amazing.",去他妈的 Ironmouse，不要听那些批评者的话，这个游戏太棒了。,"1,143"
100,denpa ⚡,@denpa_yuurei,May 7,"This one is to all the people who thought protesting doesn't work. Who were toxic to the voice actors and content creators. Who were disproving us. To those who think being vocal means nothing. We'll always, and I mean *ALWAYS* be the louder voice. Fuck GenAI, and fuck you.",这是写给所有认为抗议不起作用的人的。谁对配音演员和内容创作者有毒。谁在反驳我们。对于那些认为发声毫无意义的人来说。我们将永远，我的意思是*永远*成为更大的声音。去他妈的GenAI，去他妈的你。,"10 | 1 | 23 | 6,820"
